Assembly Barcode	Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Phage Type	Lab Contact	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Status	Coverage	N50	Length	Species	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly Barcode
SAL_CA1330AA_AS	SAL_BA2723AA	CFSAN030848	SRR2075295;ILLUMINA;Paired;302;SRX1070328;379303500;150	SAL_BA2723AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Alabama						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458440	SRS969542	2015-08-27	2015-06-29	Assembled	NaN	136977	4799516	Salmonella enterica;98.41%	64	3505	2.2	SAL_CA1330AA_AS
SAL_CA1339AA_AS	SAL_BA2726AA	CFSAN030829	SRR2075293;ILLUMINA;Paired;302;SRX1070326;342333300;150	SAL_BA2726AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458421	SRS969543	2015-08-27	2015-06-29	Assembled	NaN	161746	4770533	Salmonella enterica;98.25%	92	6145	2.2	SAL_CA1339AA_AS
SAL_CA1378AA_AS	SAL_BA2756AA	CFSAN033561	SRR2075181;ILLUMINA;Paired;302;SRX1070214;155703600;150	SAL_BA2756AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702857	SRS969423	2015-08-27	2015-06-29	Assembled	NaN	23600	4699203	Salmonella enterica;99.7%	347	65882	2.1	SAL_CA1378AA_AS
SAL_EA3920AA_AS	SAL_BA2758AA	CFSAN033535	SRR2075180;ILLUMINA;Paired;302;SRX1070213;337746048;149	SAL_BA2758AA	Food	Avian	product-eggs-raw-yolks	2012				North America	United States	Alabama						4,12:R:-	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702831	SRS969424	2015-08-27	2015-06-29	Assembled	NaN	133859	4806542	Salmonella enterica;100.0%	60	3578	2.2	SAL_EA3920AA_AS
SAL_CA1366AA_AS	SAL_BA2771AA	CFSAN033552	SRR2075163;ILLUMINA;Paired;302;SRX1070197;127780800;150	SAL_BA2771AA	Food	Avian	product-eggs-raw-whole	2013				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702848	SRS969437	2015-08-27	2015-06-29	Assembled	NaN	23541	4700285	Salmonella enterica;100.0%	327	65004	2.2	SAL_CA1366AA_AS
SAL_CA1359AA_AS	SAL_BA2783AA	CFSAN033560	SRR2075152;ILLUMINA;Paired;302;SRX1070185;244199080;149	SAL_BA2783AA	Food	Avian	product-eggs-raw-yolks	2013				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702856	SRS969446	2015-08-27	2015-06-29	Assembled	NaN	115056	4775767	Salmonella enterica;100.0%	75	6408	2.2	SAL_CA1359AA_AS
SAL_CA1375AA_AS	SAL_BA2787AA	CFSAN033557	SRR2075150;ILLUMINA;Paired;302;SRX1070183;236730902;149	SAL_BA2787AA	Food	Avian	product-eggs-raw-whole	2013				North America	United States	Minnesota						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702853	SRS969449	2015-08-27	2015-06-29	Assembled	NaN	112480	4801533	Salmonella enterica;98.55%	72	6671	2.2	SAL_CA1375AA_AS
SAL_CA1382AA_AS	SAL_BA2791AA	CFSAN032965	SRR2075147;ILLUMINA;Paired;302;SRX1070180;318750600;150	SAL_BA2791AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03649164	SRS969452	2015-08-27	2015-06-29	Assembled	NaN	158272	4776840	Salmonella enterica;100.0%	65	3801	2.2	SAL_CA1382AA_AS
SAL_CA1389AA_AS	SAL_BA2797AA	CFSAN030851	SRR2075144;ILLUMINA;Paired;302;SRX1070177;199694100;150	SAL_BA2797AA	Food	Avian	product-eggs-raw-yolks	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458443	SRS969455	2015-08-27	2015-06-29	Assembled	NaN	50397	4788470	Salmonella enterica;100.0%	184	27809	2.2	SAL_CA1389AA_AS
SAL_CA1396AA_AS	SAL_BA2815AA	CFSAN033544	SRR2075107;ILLUMINA;Paired;302;SRX1070139;204478660;149	SAL_BA2815AA	Food	Avian	product-eggs-raw-whole	2005	4			North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702840	SRS969304	2015-08-27	2015-06-29	Assembled	NaN	104940	4750547	Salmonella enterica;98.88%	94	13175	2.2	SAL_CA1396AA_AS
SAL_CA1403AA_AS	SAL_BA2825AA	CFSAN030855	SRR2075101;ILLUMINA;Paired;302;SRX1070134;461106900;150	SAL_BA2825AA	Food	Avian	product-eggs-raw-yolks	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458447	SRS969309	2015-08-27	2015-06-29	Assembled	NaN	228477	5024877	Salmonella enterica;100.0%	38	8293	2.2	SAL_CA1403AA_AS
SAL_CA1414AA_AS	SAL_BA2845AA	CFSAN030499	SRR2075088;ILLUMINA;Paired;302;SRX1070121;370190100;150	SAL_BA2845AA	Food	Avian	product-eggs-raw-whites	2012				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03435395	SRS969324	2015-08-27	2015-06-29	Assembled	NaN	147906	4748809	Salmonella enterica;100.0%	73	2820	2.2	SAL_CA1414AA_AS
SAL_CA1424AA_AS	SAL_BA2858AA	CFSAN033551	SRR2075074;ILLUMINA;Paired;302;SRX1070106;302265000;150	SAL_BA2858AA	Food	Avian	product-eggs-raw-whites	2012				North America	United States	New Jersey						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702847	SRS969290	2015-08-27	2015-06-29	Assembled	NaN	112902	4779358	Salmonella enterica;100.0%	68	5628	2.2	SAL_CA1424AA_AS
SAL_CA1430AA_AS	SAL_BA2866AA	CFSAN033537	SRR2075065;ILLUMINA;Paired;302;SRX1070097;158529000;150	SAL_BA2866AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Ohio						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702833	SRS969283	2015-08-27	2015-06-29	Assembled	NaN	31991	4722886	Salmonella enterica;100.0%	250	45752	2.2	SAL_CA1430AA_AS
SAL_CA1438AA_AS	SAL_BA2881AA	CFSAN033559	SRR2075044;ILLUMINA;Paired;302;SRX1070076;268240230;149	SAL_BA2881AA	Food	Avian	product-eggs-raw-whites	2013				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03702855	SRS969006	2015-08-27	2015-06-29	Assembled	NaN	104669	4797750	Salmonella enterica;98.7%	79	7277	2.2	SAL_CA1438AA_AS
SAL_CA1445AA_AS	SAL_BA2883AA	CFSAN030838	SRR2075042;ILLUMINA;Paired;302;SRX1070074;173433600;150	SAL_BA2883AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458430	SRS969015	2015-08-27	2015-06-29	Assembled	NaN	68066	4777802	Salmonella enterica;100.0%	131	19949	2.2	SAL_CA1445AA_AS
SAL_CA1374AA_AS	SAL_BA2886AA	CFSAN030822	SRR2075039;ILLUMINA;Paired;302;SRX1070071;236546100;150	SAL_BA2886AA	Food	Avian	product-eggs-raw-yolks	2012				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458414	SRS969016	2015-08-27	2015-06-29	Assembled	NaN	124194	4747529	Salmonella enterica;97.37%	76	8526	2.2	SAL_CA1374AA_AS
SAL_CA0104AA_AS	SAL_BA2905AA	CFSAN030828	SRR2075017;ILLUMINA;Paired;302;SRX1070050;389165948;149	SAL_BA2905AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458420	SRS968994	2015-08-27	2015-06-29	Assembled	NaN	213974	4708204	Salmonella enterica;98.0%	50	2520	2.2	SAL_CA0104AA_AS
SAL_CA0133AA_AS	SAL_BA2906AA	CFSAN030826	SRR2075016;ILLUMINA;Paired;302;SRX1070049;238366200;150	SAL_BA2906AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458418	SRS969026	2015-08-27	2015-06-29	Assembled	NaN	140421	4769936	Salmonella enterica;100.0%	71	7809	2.2	SAL_CA0133AA_AS
SAL_JA0825AA_AS	SAL_BA2908AA	CFSAN030494	SRR2075014;ILLUMINA;Paired;302;SRX1070047;436152300;150	SAL_BA2908AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03435390	SRS969028	2015-08-27	2015-06-29	Assembled	NaN	153128	4748781	Salmonella enterica;97.96%	51	1919	2.2	SAL_JA0825AA_AS
SAL_CA0187AA_AS	SAL_BA2917AA	CFSAN030837	SRR2075004;ILLUMINA;Paired;302;SRX1070037;258838628;149	SAL_BA2917AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Indiana						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458429	SRS969033	2015-08-27	2015-06-29	Assembled	NaN	136200	4783818	Salmonella enterica;100.0%	75	6254	2.2	SAL_CA0187AA_AS
SAL_CA0210AA_AS	SAL_BA2918AA	CFSAN030819	SRR2075003;ILLUMINA;Paired;302;SRX1070036;147976800;150	SAL_BA2918AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	New York		New York				Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458411	SRS969032	2015-08-27	2015-06-29	Assembled	NaN	56163	4778830	Salmonella enterica;100.0%	168	32153	2.2	SAL_CA0210AA_AS
SAL_CA0239AA_AS	SAL_BA2922AA	CFSAN030490	SRR2074999;ILLUMINA;Paired;302;SRX1070032;294758654;149	SAL_BA2922AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03435386	SRS969036	2015-08-27	2015-06-29	Assembled	NaN	185997	4745360	Salmonella enterica;100.0%	68	2628	2.2	SAL_CA0239AA_AS
SAL_CA0272AA_AS	SAL_BA2937AA	CFSAN030488	SRR2074983;ILLUMINA;Paired;302;SRX1070016;265019400;150	SAL_BA2937AA	Food	Avian	product-eggs-raw-whole	2012				North America	United States	Iowa						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA242847	SRP040648	SAMN03435384	SRS969044	2015-08-27	2015-06-29	Assembled	NaN	174614	4747887	Salmonella enterica;100.0%	65	5378	2.2	SAL_CA0272AA_AS
SAL_CA0292AA_AS	SAL_BA2941AA	CFSAN030820	SRR2074978;ILLUMINA;Paired;302;SRX1070011;253113600;150	SAL_BA2941AA	Food	Avian	product-eggs-raw-whites	2012				North America	United States	Pennsylvania						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA186035	SRP018785	SAMN03458412	SRS969046	2015-08-27	2015-06-29	Assembled	NaN	131053	4780283	Salmonella enterica;100.0%	77	7426	2.2	SAL_CA0292AA_AS
SAL_CA2012AA_AS	SAL_BA2973AA	AZ_TG68180	SRR1002850;ILLUMINA;Paired;500;SRX360326;400703000;250	SAL_BA2973AA	Poultry	Avian	chicken breast	2009				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183847	SRP028894	SAMN02261130	SRS487530	2015-08-27	2013-09-25	Assembled	NaN	412030	4789036	Salmonella enterica;100.0%	80	18735	2.2	SAL_CA2012AA_AS
SAL_CA2033AA_AS	SAL_BA2985AA	AZ_TG68144	SRR1002841;ILLUMINA;Paired;500;SRX360316;194396000;250	SAL_BA2985AA	Poultry	Avian	chicken breast	2009				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183847	SRP028894	SAMN02261121	SRS487520	2015-08-27	2013-09-25	Assembled	NaN	281692	4880211	Salmonella enterica;98.38%	88	29464	2.2	SAL_CA2033AA_AS
SAL_CA0311AA_AS	SAL_BA2991AA	NY-N14326	SRR2071082;ILLUMINA;Paired;500;SRX1066250;280342128;249	SAL_BA2991AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276081	SRS966259	2015-08-27	2015-06-24	Assembled	NaN	298840	4891114	Salmonella enterica;93.88%	63	8634	2.2	SAL_CA0311AA_AS
SAL_EA4037AA_AS	SAL_BA3007AA	NY-N14331	SRR2071017;ILLUMINA;Paired;500;SRX1066185;532377438;249	SAL_BA3007AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						I 4,5,12:R:-	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276086	SRS966119	2015-08-27	2015-06-24	Assembled	NaN	312019	4917265	Salmonella enterica;91.22%	74	6989	2.2	SAL_EA4037AA_AS
SAL_BA4620AA_AS	SAL_BA3018AA	NY-N14332	SRR2070989;ILLUMINA;Paired;500;SRX1066157;296449440;249	SAL_BA3018AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						I 4,5,12:R:-	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276087	SRS966106	2015-08-27	2015-06-24	Assembled	NaN	311997	4913006	Salmonella enterica;90.2%	66	8941	2.2	SAL_BA4620AA_AS
SAL_BA5384AA_AS	SAL_BA3020AA	NY-N14333	SRR2070988;ILLUMINA;Paired;500;SRX1066156;436323198;249	SAL_BA3020AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						I 4,5,12:R:-	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276088	SRS966107	2015-08-27	2015-06-24	Assembled	NaN	311989	4917096	Salmonella enterica;90.74%	67	6618	2.2	SAL_BA5384AA_AS
SAL_CA0321AA_AS	SAL_BA3022AA	NY-N14328	SRR2070987;ILLUMINA;Paired;500;SRX1066155;418176078;249	SAL_BA3022AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276083	SRS966108	2015-08-27	2015-06-24	Assembled	NaN	298840	4893906	Salmonella enterica;93.76%	62	8066	2.2	SAL_CA0321AA_AS
SAL_CA0351AA_AS	SAL_BA3024AA	NY-N14329	SRR2070986;ILLUMINA;Paired;500;SRX1066154;526563288;249	SAL_BA3024AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276084	SRS967076	2015-08-27	2015-06-25	Assembled	NaN	298840	4898704	Salmonella enterica;89.29%	67	6662	2.2	SAL_CA0351AA_AS
SAL_CA0361AA_AS	SAL_BA3026AA	NY-N14327	SRR2070985;ILLUMINA;Paired;500;SRX1066153;437330154;249	SAL_BA3026AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276082	SRS966078	2015-08-27	2015-06-24	Assembled	NaN	298840	4902255	Salmonella enterica;93.45%	79	8742	2.2	SAL_CA0361AA_AS
SAL_CA0403AA_AS	SAL_BA3032AA	NY-N14323	SRR2070982;ILLUMINA;Paired;500;SRX1066150;378488572;241	SAL_BA3032AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276078	SRS966080	2015-08-27	2015-06-24	Assembled	NaN	307138	4839527	Salmonella enterica;94.23%	66	6653	2.2	SAL_CA0403AA_AS
SAL_CA0422AA_AS	SAL_BA3034AA	NY-N14322	SRR2070981;ILLUMINA;Paired;500;SRX1066149;457326902;241	SAL_BA3034AA	Poultry	Avian	ground turkey	2007				North America	United States	Tennessee						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276077	SRS966082	2015-08-27	2015-06-24	Assembled	NaN	319164	4840292	Salmonella enterica;96.16%	63	5477	2.2	SAL_CA0422AA_AS
SAL_CA0432AA_AS	SAL_BA3096AA	FSIS1501022	SRR2068091;ILLUMINA;Paired;300;SRX1063517;293778672;132	SAL_BA3096AA	Poultry	Avian	NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens	2015				North America	United States	Arkansas						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN03776993	SRS963639	2015-08-27	2015-06-18	Assembled	NaN	291758	4774731	Salmonella enterica;100.0%	64	3426	2.2	SAL_CA0432AA_AS
SAL_CA0451AA_AS	SAL_BA3116AA	FSIS1501009	SRR2067947;ILLUMINA;Paired;300;SRX1063421;343251220;130	SAL_BA3116AA	Poultry	Avian	NRTE (Not-Ready-to-Eat) Comminuted Poultry Exploratory Sampling - Chickens	2015				North America	United States	Georgia						Heidelberg	I				Department of Agriculture - Food Safety and Inspection Service (US)		PRJNA242847	SRP040648	SAMN03776982	SRS963498	2015-08-27	2015-06-18	Assembled	NaN	276251	4776920	Salmonella enterica;97.96%	62	2173	2.2	SAL_CA0451AA_AS
SAL_CA0470AA_AS	SAL_BA3178AA	WAPHL_SAL-A00790	SRR2064116;ILLUMINA;Paired;500;SRX1059649;481381440;240	SAL_BA3178AA	Poultry	Avian	chicken breast	2006				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183851	SRP028334	SAMN03291619	SRS961913	2015-08-27	2015-06-16	Assembled	NaN	170737	4910467	Salmonella enterica;98.44%	73	8955	2.2	SAL_CA0470AA_AS
SAL_CA0498AA_AS	SAL_BA3182AA	WAPHL_SAL-A00800	SRR2064108;ILLUMINA;Paired;500;SRX1059641;521972192;233	SAL_BA3182AA	Poultry	Avian	ground turkey	2006				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183851	SRP028334	SAMN03291629	SRS961902	2015-08-27	2015-06-16	Assembled	NaN	153394	4886892	Salmonella enterica;100.0%	97	9208	2.2	SAL_CA0498AA_AS
SAL_CA0508AA_AS	SAL_BA3184AA	WAPHL_SAL-A00799	SRR2064107;ILLUMINA;Paired;500;SRX1059640;461548460;235	SAL_BA3184AA	Poultry	Avian	ground turkey	2006				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183851	SRP028334	SAMN03291628	SRS961903	2015-08-27	2015-06-16	Assembled	NaN	131098	4884911	Salmonella enterica;100.0%	88	8257	2.2	SAL_CA0508AA_AS
SAL_CA0520AA_AS	SAL_BA3202AA	WAPHL_SAL-A00783	SRR2062219;ILLUMINA;Paired;500;SRX1058178;466561536;196	SAL_BA3202AA	Poultry	Avian	ground turkey	2006				North America	United States	Minnesota						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183851	SRP028334	SAMN03291612	SRS960596	2015-08-27	2015-06-13	Assembled	NaN	231113	4875322	Salmonella enterica;100.0%	70	3152	2.2	SAL_CA0520AA_AS
SAL_CA0548AA_AS	SAL_BA3206AA	WAPHL_SAL-A00781	SRR2062217;ILLUMINA;Paired;500;SRX1058176;376631532;207	SAL_BA3206AA	Poultry	Avian	ground turkey	2006				North America	United States	Minnesota						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183851	SRP028334	SAMN03291610	SRS960598	2015-08-27	2015-06-13	Assembled	NaN	270156	4782220	Salmonella enterica;100.0%	65	4036	2.2	SAL_CA0548AA_AS
SAL_CA0560AA_AS	SAL_BA3212AA	FSIS1500739	SRR2060275;ILLUMINA;Paired;;SRX1056393;452682804;246	SAL_BA3212AA	Poultry	Avian	Comminuted Poultry	2015				North America	United States	Iowa						Heidelberg	I						PRJNA242847	SRP040648	SAMN03769898	SRS959031	2015-08-27	2015-06-12	Assembled	NaN	439726	4694378	Salmonella enterica;100.0%	42	6152	2.2	SAL_CA0560AA_AS
SAL_EA4127AA_AS	SAL_BA3422AA	2015K-0372	SRR2057783;ILLUMINA;Paired;500;SRX1054593;396236736;224,SRR2577566;ILLUMINA;Paired;;SRX1314729;396236736;224,SRR2577566;ILLUMINA;Paired;;SRX1314729;;	SAL_BA3422AA								North America	United States							Heidelberg (Predicted)					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN03765993	SRS957388	2015-08-27	2015-06-09	Assembled	NaN	412095	4842669	Salmonella enterica;97.67%	54	3310	2.2	SAL_EA4127AA_AS
SAL_EA4131AA_AS	SAL_BA3424AA	2015K-0370	SRR2577465;ILLUMINA;Paired;;SRX1314639;;,SRR2057782;ILLUMINA;Paired;500;SRX1054592;532728572;241,SRR2577465;ILLUMINA;Paired;;SRX1314639;;	SAL_BA3424AA	ND	ND	Blood; Age: 10-19	2015	4			North America	United States							Heidelberg					Centers for Disease Control and Prevention - PulseNet		PRJNA230403	SRP040281	SAMN03765992	SRS957389	2015-08-27	2015-06-09	Assembled	NaN	686356	4728809	Salmonella enterica;96.97%	42	2921	2.2	SAL_EA4131AA_AS
SAL_IA2550AA_AS	SAL_BA3426AA	2015K-0352	SRR2578274;ILLUMINA;Paired;;SRX1314970;;,SRR2578274;ILLUMINA;Paired;;SRX1314970;599260676;238,SRR2057781;ILLUMINA;Paired;500;SRX1054591;599260676;238	SAL_BA3426AA								North America	United States							Heidelberg (Predicted)					Centers for Disease Control and Prevention - PulseNet		PRJNA230403	SRP040281	SAMN03765991	SRS957391	2015-08-27	2015-06-09	Assembled	NaN	357007	4789683	Salmonella enterica;97.73%	50	2473	2.2	SAL_IA2550AA_AS
SAL_IA3365AA_AS	SAL_BA3430AA	2015K-0347	SRR2577304;ILLUMINA;Paired;;SRX1314594;350736024;222,SRR2577304;ILLUMINA;Paired;;SRX1314594;;,SRR2057779;ILLUMINA;Paired;500;SRX1054589;350736024;222	SAL_BA3430AA	Human	Human	Stool; Age: 5-9	2015	3			North America	United States							Heidelberg					Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)		PRJNA230403	SRP040281	SAMN03765989	SRS957392	2015-08-27	2015-06-09	Assembled	NaN	412096	4733277	Salmonella enterica;100.0%	50	3215	2.2	SAL_IA3365AA_AS
SAL_JA0846AA_AS	SAL_BA3431AA	2015K-0325	SRR2577568;ILLUMINA;Paired;;SRX1314795;494022022;197,SRR2577568;ILLUMINA;Paired;;SRX1314795;;,SRR2057778;ILLUMINA;Paired;500;SRX1054588;494022022;197	SAL_BA3431AA								North America	United States							Heidelberg (Predicted)					Centers for Disease Control and Prevention - PulseNet		PRJNA230403	SRP040281	SAMN03765990	SRS957393	2015-08-27	2015-06-09	Assembled	NaN	412162	4773627	Salmonella enterica;100.0%	53	2665	2.2	SAL_JA0846AA_AS
SAL_CA0592AA_AS	SAL_BA3457AA	NY-N14213	SRR2054609;ILLUMINA;Paired;500;SRX1052025;335481500;250	SAL_BA3457AA	Poultry	Avian	chicken breast	2007				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276062	SRS956140	2015-08-27	2015-06-07	Assembled	NaN	299385	4865833	Salmonella enterica;92.5%	55	9015	2.2	SAL_CA0592AA_AS
SAL_CA0614AA_AS	SAL_BA3459AA	NY-N14219	SRR2054607;ILLUMINA;Paired;500;SRX1052023;191423000;250	SAL_BA3459AA	Poultry	Avian	chicken breast	2007				North America	United States	New Mexico						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA183850	SRP028607	SAMN03276068	SRS956134	2015-08-27	2015-06-07	Assembled	NaN	199635	4776209	Salmonella enterica;100.0%	61	27133	2.2	SAL_CA0614AA_AS
SAL_CA0635AA_AS	SAL_BA3606AA	TX-ACF1400749	SRR2053356;ILLUMINA;Paired;500;SRX1051289;510117000;230	SAL_BA3606AA	Livestock	Bovine	raw ground beef	2014	3			North America	United States	Texas						Heidelberg	I				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)		PRJNA284276	SRP059203	SAMN03702723	SRS955473	2015-08-27	2015-06-05	Assembled	NaN	213752	5002478	Salmonella enterica;82.56%	119	5939	2.2	SAL_CA0635AA_AS
SAL_EA4284AA_AS	SAL_BA3693AA	2015K-0353	SRR2051453;ILLUMINA;Paired;500;SRX1048881;434991440;215,SRR2577507;ILLUMINA;Paired;;SRX1314660;434991440;215,SRR2577507;ILLUMINA;Paired;;SRX1314660;;	SAL_BA3693AA	ND	ND	Stool	2015	1			North America	United States							Heidelberg					Centers for Disease Control and Prevention - PulseNet		PRJNA230403	SRP040281	SAMN03754571	SRS953205	2015-08-27	2015-06-04	Assembled	NaN	686356	4727422	Salmonella enterica;97.43%	46	1739	2.2	SAL_EA4284AA_AS
SAL_EA4283AA_AS	SAL_BA3695AA	2015K-0351	SRR2051452;ILLUMINA;Paired;500;SRX1048880;628595136;234	SAL_BA3695AA								North America	United States							Heidelberg (Predicted)					Centers for Disease Control and Prevention		PRJNA230403	SRP040281	SAMN03754570	SRS953206	2015-08-27	2015-06-04	Assembled	NaN	412095	4729404	Salmonella enterica;97.44%	47	2342	2.2	SAL_EA4283AA_AS
